"","q","n_total","sub_size","subsample_id","repetition","method","SHD","Precision","Recall","F1_Score"
"238",200,300,100,2,20,"Bayesian",92,0.9754,0.5721,0.7212
"239",200,300,100,3,20,"Frequentist",83,0.8931,0.6827,0.7738
"240",200,300,100,3,20,"Bayesian",91,0.9756,0.5769,0.7251
"241",1000,300,100,1,1,"Frequentist",638,0.6875,0.6175,0.6506
"242",1000,300,100,1,1,"Bayesian",546,0.82,0.5541,0.6613
"243",1000,300,100,2,1,"Frequentist",677,0.6603,0.6102,0.6343
"244",1000,300,100,2,1,"Bayesian",556,0.8076,0.5541,0.6572
"245",1000,300,100,3,1,"Frequentist",673,0.6618,0.6143,0.6372
"246",1000,300,100,3,1,"Bayesian",551,0.8147,0.553,0.6588
"247",1000,300,100,1,2,"Frequentist",688,0.6802,0.5992,0.6371
"248",1000,300,100,1,2,"Bayesian",572,0.8273,0.5466,0.6583
"249",1000,300,100,2,2,"Frequentist",668,0.6941,0.6032,0.6454
"250",1000,300,100,2,2,"Bayesian",574,0.8318,0.5397,0.6546
"251",1000,300,100,3,2,"Frequentist",706,0.6708,0.5883,0.6268
"252",1000,300,100,3,2,"Bayesian",596,0.8112,0.5327,0.6431
"253",1000,300,100,1,3,"Frequentist",660,0.6652,0.6334,0.6489
"254",1000,300,100,1,3,"Bayesian",533,0.8298,0.5618,0.67
"255",1000,300,100,2,3,"Frequentist",638,0.6812,0.6345,0.657
"256",1000,300,100,2,3,"Bayesian",532,0.8183,0.5753,0.6756
"257",1000,300,100,3,3,"Frequentist",624,0.6877,0.6449,0.6656
"258",1000,300,100,3,3,"Bayesian",519,0.8364,0.5732,0.6802
"259",1000,300,100,1,4,"Frequentist",664,0.6663,0.6263,0.6457
"260",1000,300,100,1,4,"Bayesian",544,0.8159,0.5642,0.6671
"261",1000,300,100,2,4,"Frequentist",666,0.6685,0.6159,0.6412
"262",1000,300,100,2,4,"Bayesian",541,0.8326,0.5507,0.6629
"263",1000,300,100,3,4,"Frequentist",667,0.6705,0.6087,0.6381
"264",1000,300,100,3,4,"Bayesian",558,0.8082,0.5538,0.6572
"265",1000,300,100,1,5,"Frequentist",692,0.68,0.601,0.6381
"266",1000,300,100,1,5,"Bayesian",600,0.813,0.531,0.6424
"267",1000,300,100,2,5,"Frequentist",670,0.6932,0.6099,0.6488
"268",1000,300,100,2,5,"Bayesian",569,0.8369,0.5458,0.6607
"269",1000,300,100,3,5,"Frequentist",690,0.6808,0.603,0.6395
"270",1000,300,100,3,5,"Bayesian",568,0.8392,0.5448,0.6607
"271",1000,300,100,1,6,"Frequentist",683,0.6809,0.6243,0.6514
"272",1000,300,100,1,6,"Bayesian",550,0.8481,0.5626,0.6765
"273",1000,300,100,2,6,"Frequentist",671,0.6881,0.6282,0.6568
"274",1000,300,100,2,6,"Bayesian",546,0.8469,0.5685,0.6803
"275",1000,300,100,3,6,"Frequentist",599,0.7353,0.6468,0.6882
"276",1000,300,100,3,6,"Bayesian",509,0.8734,0.5871,0.7022
"277",1000,300,100,1,7,"Frequentist",679,0.6463,0.6083,0.6267
"278",1000,300,100,1,7,"Bayesian",546,0.804,0.5518,0.6544
"279",1000,300,100,2,7,"Frequentist",665,0.6545,0.6147,0.634
"280",1000,300,100,2,7,"Bayesian",535,0.8121,0.5582,0.6616
"281",1000,300,100,3,7,"Frequentist",673,0.65,0.6105,0.6296
"282",1000,300,100,3,7,"Bayesian",553,0.7927,0.555,0.6529
"283",1000,300,100,1,8,"Frequentist",641,0.6763,0.6184,0.6461
"284",1000,300,100,1,8,"Bayesian",551,0.811,0.5444,0.6515
"285",1000,300,100,2,8,"Frequentist",661,0.6686,0.5973,0.6309
"286",1000,300,100,2,8,"Bayesian",537,0.819,0.555,0.6616
"287",1000,300,100,3,8,"Frequentist",671,0.6571,0.6078,0.6315
"288",1000,300,100,3,8,"Bayesian",551,0.81,0.5455,0.6519
"289",1000,300,100,1,9,"Frequentist",687,0.7044,0.6053,0.6511
"290",1000,300,100,1,9,"Bayesian",589,0.8487,0.5401,0.6601
"291",1000,300,100,2,9,"Frequentist",697,0.7016,0.5949,0.6438
"292",1000,300,100,2,9,"Bayesian",587,0.842,0.5486,0.6644
"293",1000,300,100,3,9,"Frequentist",689,0.7042,0.6025,0.6494
"294",1000,300,100,3,9,"Bayesian",592,0.8439,0.5411,0.6594
"295",1000,300,100,1,10,"Frequentist",681,0.7048,0.6048,0.6509
"296",1000,300,100,1,10,"Bayesian",581,0.8394,0.5524,0.6663
"297",1000,300,100,2,10,"Frequentist",697,0.6994,0.5895,0.6398
"298",1000,300,100,2,10,"Bayesian",594,0.8324,0.5438,0.6578
"299",1000,300,100,3,10,"Frequentist",659,0.7204,0.6086,0.6598
"300",1000,300,100,3,10,"Bayesian",588,0.8458,0.5381,0.6577
"301",1000,300,100,1,11,"Frequentist",639,0.7042,0.6248,0.6621
"302",1000,300,100,1,11,"Bayesian",528,0.8613,0.5639,0.6815
"303",1000,300,100,2,11,"Frequentist",646,0.7041,0.6128,0.6553
"304",1000,300,100,2,11,"Bayesian",551,0.8485,0.5479,0.6659
"305",1000,300,100,3,11,"Frequentist",626,0.7108,0.6327,0.6695
"306",1000,300,100,3,11,"Bayesian",552,0.8261,0.5689,0.6738
"307",1000,300,100,1,12,"Frequentist",682,0.6535,0.6069,0.6293
"308",1000,300,100,1,12,"Bayesian",533,0.8347,0.5503,0.6633
"309",1000,300,100,2,12,"Frequentist",654,0.6724,0.6132,0.6414
"310",1000,300,100,2,12,"Bayesian",547,0.8069,0.5608,0.6617
"311",1000,300,100,3,12,"Frequentist",660,0.6652,0.6205,0.6421
"312",1000,300,100,3,12,"Bayesian",553,0.8015,0.5587,0.6584
"313",1000,300,100,1,13,"Frequentist",707,0.6625,0.5899,0.6241
"314",1000,300,100,1,13,"Bayesian",594,0.8015,0.5357,0.6422
"315",1000,300,100,2,13,"Frequentist",703,0.6659,0.5889,0.6251
"316",1000,300,100,2,13,"Bayesian",596,0.7973,0.5377,0.6423
"317",1000,300,100,3,13,"Frequentist",687,0.6787,0.5879,0.63
"318",1000,300,100,3,13,"Bayesian",574,0.8294,0.5327,0.6487
"319",1000,300,100,1,14,"Frequentist",694,0.637,0.5974,0.6166
"320",1000,300,100,1,14,"Bayesian",578,0.779,0.5321,0.6323
"321",1000,300,100,2,14,"Frequentist",679,0.6403,0.6231,0.6316
"322",1000,300,100,2,14,"Bayesian",557,0.7922,0.5471,0.6472
"323",1000,300,100,3,14,"Frequentist",686,0.6396,0.6081,0.6235
"324",1000,300,100,3,14,"Bayesian",557,0.7913,0.5482,0.6477
"325",1000,300,100,1,15,"Frequentist",692,0.7009,0.597,0.6448
"326",1000,300,100,1,15,"Bayesian",595,0.8355,0.5409,0.6567
"327",1000,300,100,2,15,"Frequentist",677,0.7054,0.6122,0.6555
"328",1000,300,100,2,15,"Bayesian",594,0.8398,0.538,0.6559
"329",1000,300,100,3,15,"Frequentist",655,0.7274,0.6036,0.6597
"330",1000,300,100,3,15,"Bayesian",593,0.835,0.5437,0.6586
"331",1000,300,100,1,16,"Frequentist",654,0.6765,0.6162,0.645
"332",1000,300,100,1,16,"Bayesian",559,0.812,0.5467,0.6534
"333",1000,300,100,2,16,"Frequentist",657,0.6696,0.6286,0.6485
"334",1000,300,100,2,16,"Bayesian",550,0.8108,0.5602,0.6626
"335",1000,300,100,3,16,"Frequentist",663,0.674,0.6048,0.6375
"336",1000,300,100,3,16,"Bayesian",552,0.8229,0.5446,0.6554
